2018-05-21 09:26:00,0
2018-05-21 09:30:00,4
2018-05-21 10:16:28,3
2018-05-21 10:28:14,3
2018-05-21 10:37:32,2
2018-05-21 10:45:11,3
2018-05-21 10:53:58,2
2018-05-21 11:06:04,3
2018-05-21 11:07:49,2
2018-05-21 11:37:35,1
2018-05-21 11:39:43,3
2018-05-21 11:46:23,3
2018-05-21 12:38:43,3
2018-05-21 13:29:50,2
2018-05-21 13:38:54,3
2018-05-21 13:54:27,1
2018-05-21 13:56:29,3
2018-05-21 14:07:13,1
2018-05-21 14:44:35,3
2018-05-21 15:25:09,2
2018-05-21 15:38:54,3
2018-05-21 15:54:31,1
2018-05-21 15:59:40,2
2018-05-21 16:07:38,1
2018-05-21 16:11:24,2
2018-05-21 16:24:28,2
2018-05-21 16:36:24,3
2018-05-21 17:07:14,2
2018-05-21 17:21:42,3
2018-05-21 17:28:29,2
2018-05-21 17:47:13,3
2018-05-21 17:47:53,2
2018-05-21 17:55:57,3
2018-05-21 18:27:17,2
2018-05-21 18:52:18,3
2018-05-21 19:00:17,3
2018-05-21 19:31:19,4
2018-05-21 19:56:00,99
